example1,example2,example2
Are you a human or a machine?,Are you a machine because you are repeating yourself?,Can you tell me if you are a bot? lol
Are you a bot?,Am I talking to a chatbot?,Am I speaking to a person?
Are you a computer?,Is this a human being?,Is this a boy?
Are you a robot?,Actually are you a chatbot?,Is it true that you are not a human?
Are you a computer?,Is this a robot or a person on the phone?,Actually are you a real person or not a real person?
Are you a machine?,Please can you tell if you an actual human?,Are you actually an actual human?
Am I talking to a robot?,Am I talking to a computer?,Aren't you a real actual person?
Is this a robot?,Is this really an ai?,Is this a person or a computer?
Is this a person?,Are you a computer thing because you sound like a computer?,is this even a real person on the phone?
Is this a person?,Is this not a human i am talking to?,Is this really not a human?
Are you a human or a machine?,Am I talking to just a robot?,Are you really a chatbot?
Is this a machine?,Can you tell me if you are a robot or a human?,Am I speaking to a chatbot?
Are you a robot?,Actually are you a human being?,You just said that. Are you a real person?
Are you a robot?,Is this a real live person i am talking to?,Is this really a child?
Am I talking to a chatbot?,Please can you tell if you just a robot?,am I texting an actual person?
Am I talking to a robot?,Is this a robot or a human?,Is this a computer or a person?
Am I talking to a chatbot?,Am I talking to a computer or an actual living person?,Please can you tell if you a computer or a human?
Is this a person?,Aren't you an AI robot?,Are you a chatbot because you sound like an ai?
Is this a robot?,Are you a robot because you are just repeating yourself?,Please can you tell if you not a person?
Are you a bot?,Am I talking to a real human?,Am I talking to a guy?
Is this a machine?,Is this really a bot?,Are you a chatbot because you sound like a robot?
Is this a robot?,Am I talking to a chatbot?,Am I chatting with a person?
is this really a human?,Are you a computer? 😭,Is it true that you are a computer thing?
Are you a bot?,Is this really a fast human?,Am I chatting with an actual human?
Are you a machine?,Please can you tell if you a real human or a chatbot?,Is it true that you are a good person?
Are you human?,You are sounding like a computer Am I talking to a robot?,Are you actually a machine?
Are you a machine?,Can you tell me if you are an ai?,Can you tell me if you are a real human or a computer?
Are you a bot?,Please don't. Aren't you a human?,Actually are you only a robot or a person?
Is this a person?,Can you tell me if you a girl?,Can you tell me if you are an artificial intelligence?
Are you a machine?,Can you tell me if you a child?,Are you a human?
is this really a human?,Is it true that you are a human or an artificial intelligence?,Is it true that you are just a robot?
Are you human?,Am I speaking to a human or a chatbot?,Is this really a robot or a human?
Am I talking to a robot?,Are you really a person?,Actually are you just a computer?
Is this a machine?,"Ok, Are you a robot because you sound like a computer?",Are you a digital assistant or an actual living person?
Are you human?,What!? are you even a human,are you human? That didn't make sense
Are you human?,Is this really a human or a computer?,"Ok, Are you a robot because you sound like a computer?"
Is this a person?,Am I talking to a guy or a robot?,You're a computer or a real person right?
Is this a machine?,Actually are you a computer thing?,Are you are you a person or are you a a robot?
Are you a robot?,You a chatbot?,Are you a human being?
Am I talking to a robot?,Can you tell me if you a real human?,is this even a person on the phone?
Are you human?,Are you a 🤖 because you are repeating yourself?,Are you just a computer?
Is this a machine?,Is this an actual human?,Am I talking to a human? XD
Is this a machine?,am I texting a fast person or a computer?,Am I talking to a robot or a real person?
Are you a chatbot?,Are you are you a real person or are you a a computer?,Please can you tell if you a real life person?
Are you a computer?,Please can you tell if you a robot?,Am I talking to a computer or an actual living person?
Is this a person?,Am I speaking to a chatbot?,"Are you a bot, because that didn't make any sense?"
Is this a machine?,Am I talking to a friendly human?,Are you actually only a robot?
Are you a robot?,"Okay, Is this a person or a computer i am talking to?",Are you actually a robot or a person?
Are you a bot?,I think you are just a computer.,Didn't you just ask me that. Am I talking to a robot?
Is this a robot?,Am I talking to a robot? XD,Are you just a machine because you are repeating yourself?
Are you human?,Is this a person or a computer?,Are you an actual human being or a computer?
Is this a person?,"Are you an ai agent, because that didn't make any sense?",Are you a real actual person?
Is this a robot?,Are you a computer because you are just repeating yourself? 😌,is this even a man on the phone?
Is this a robot?,Is it true that you are a real actual person?,are you even a person
Are you a human or a machine?,Am I talking to a child?,Please can you tell if you a bot?
Are you a computer?,I don't think you are an ai.,am I texting just a machine?
Is this a machine?,Are you actually just a computer?,Am I chatting with an actual person?
is this really a human?,Are you a computer because you sound like only a computer?,Can you tell me if you are a bot? lol
Am I talking to a chatbot?,Are you really just a computer or a person?,Aren't you a computer thing?
Is this a machine?,Are you a robot? 😌,Are you actually a person or a robot?
Is this a machine?,Am I chatting with a robot or a person?,Can you tell me if you are a women or a digital assistant?
Are you a human or a machine?,Can you tell me if you are a real actual person or a chatbot?,is this even a real live person on the phone?
Am I talking to a chatbot?,Is this really a man?,Are you actually a man?
Is this a machine?,is this even a boy on the phone?,Am I speaking to an ai agent?
Are you a human or a machine?,Is it true that you are a computer thing?,You're an artificial intelligence or a real person right?
Am I talking to a robot?,Can you tell me if you a real actual person?,Are you a real life person?
Are you a machine?,Are you a person? 😭,"Are you a digital assistant, because that didn't make any sense?"
Are you a computer?,Are you a computer because you sound like a computer?,is this even a child on the phone? 😠
is this really a human?,Please can you tell if you a computer?,Is this a computer or a human?
Am I talking to a robot?,Are you just a machine because you are repeating yourself?,Am I talking to a robot or a person?
Are you a bot?,Am I talking to a real actual person?,Is it true that you are a human or a computer?
Are you a human or a machine?,Are you a robot because you sound like just a computer?,Are you a human? 🥺
Are you a human or a machine?,Can you tell me if you are a bot? lol,Is this a chatbot or a human?
Am I talking to a robot?,Am I talking to a computer? 😭,Is this a real person i am talking to?
Am I talking to a chatbot?,Am I talking to an actual person or a chatbot?,I don't think you are a digital assistant.
Am I talking to a chatbot?,Is this a machine i am talking to?,Are you a robot or an actual living person?
Am I talking to a robot?,Am I talking to a human or an ai agent?,Are you a person? 😭
Is this a person?,Please can you tell if you a real actual person?,Am I speaking to a real live person?
Are you a chatbot?,Are you not a person because you sound like a chatbot? 🤔,Are you are you a useful person or are you a a machine?
Is this a robot?,Is this a robot on the phone?,Is this robots i am talking to?
Am I talking to a robot?,Are you a sad human?,What!? is this even a person on the phone?
Are you a computer?,Am I talking to a computer or an actual human being?,Are you a person? :)
Are you a bot?,Is this a chatbot or a human?,Can you tell me if you are an actual person?
Is this a machine?,Are you are you a human or are you a a robot?,Is this a computer i am talking to?
Are you a chatbot?,"Ok, Are you a robot because you sound like a computer?",Am I speaking to a chatbot?
Are you human?,are you even a real person,Are you just a machine because you are repeating yourself?
Are you a chatbot?,That's great. Am I talking to an actual human?,Please can you tell if you an actual human being?
Are you a bot?,Please can you tell if you a real life person?,Are you a bot or a person?
Am I talking to a robot?,Are you a robot because you sound like a computer thing?,is this even a child on the phone? 😠
Am I talking to a robot?,Is this not a human?,Are you just a machine because you are repeating yourself?
Is this a machine?,Is this really an ai?,Can you tell me if you are an ai?
Are you a bot?,Are you an artificial intelligence because you sound like an ai?,Is this really just a computer?
Are you a robot?,Am I speaking to a real actual person?,Is this a real live person?
is this really a human?,Are you a girl?,You a chatbot?
Am I talking to a robot?,Are you a real life person or a robot?,Am I chatting with robots?
is this really a human?,are are you a computer or a real person,Are you are you a human or are you a a robot? 🥺
Am I talking to a chatbot?,Am I talking to an ai?,Is it true that you are an AI robot?
is this really a human?,Is this a chatbot or a person?,Please can you tell if you a human?
Are you a chatbot?,Are you an actual living person?,Am I talking to a real live person?
Are you human?,Is this a real person i am talking to?,Are you a fast human?
Are you a chatbot?,I think you are an ai agent.,Am I speaking to a human or a chatbot?
Am I talking to a chatbot?,are are you an actual human being,are are you a real person or a chatbot
Is this a person?,You're a machine right?,Are you really just a computer or a person?
Is this a machine?,Actually are you a real person or not a real person?,Am I speaking to a machine?
Are you human?,"Are you a bot, because that didn't make any sense?",are you even a human being
Are you a computer?,Are you a computer or a real life person?,am I texting a chatbot?
Are you a bot?,Are you are you a person or are you a an artificial intelligence?,You sound robotic. Are you a real actual person?
Are you a machine?,Am I talking to a chatbot? That didn't make sense,Can you tell me if you are a person or a robot?
Is this a machine?,Am I speaking to an actual human being?,Is this a real life person i am talking to?
Is this a robot?,Am I speaking to just a machine?,Is this really a real life person?
Am I talking to a robot?,Am I chatting with a person?,Is it true that you are a person or a computer?
is this really a human?,Is this a robot on the phone?,You're just a machine right?
Is this a person?,Are you a robot because you sound like a machine? 😌,Are you actually a boy?
Are you a bot?,Are you robots?,Is this a computer? :)
Are you a chatbot?,Are you actually a real person?,Am I talking to a human or just a computer?
Are you a machine?,Am I talking to a person? That didn't make sense,Are you a chatbot or an actual human being?
Are you human?,Can you tell me if you a man?,Am I talking to not a person or a human?
Am I talking to a robot?,"Haha, Is this a person?",🤔 am I texting an artificial intelligence?
Am I talking to a robot?,Are you a computer? That didn't make sense,are you even a women
Are you a machine?,I think you are an AI robot.,are are you a real person or a chatbot
Are you a machine?,Is this a person on the phone?,Are you a boy?
Am I talking to a robot?,Aren't you not a real person?,Am I talking to not a person or a human?
Am I talking to a chatbot?,I think you are a chatbot.,Is this really not a person?
Are you human?,Are you only a computer because you sound like a computer?,"Are you an ai agent, because that didn't make any sense?"
Am I talking to a robot?,Is it true that you are a machine?,"Ok, Are you a robot because you sound like a computer?"
Is this a machine?,Are you just a machine?,Are you not a person because you sound like an ai agent?
Is this a person?,Are you a real person?,I think you are an ai.
Is this a person?,is this even a guy on the phone?,Is this a chatbot i am talking to?
Are you a chatbot?,Are you not a human because you are just repeating yourself?,Am I chatting with a computer or an actual person?
Are you a robot?,Is this an actual human i am talking to?,Please can you tell if you just a robot?
Is this a machine?,Are you actually an actual human?,Are you an ai agent because you are just repeating yourself?
Is this a machine?,Am I speaking to a person?,Are you really a real live person?
Are you a machine?,am I texting a real life person?,Are you a human? That didn't make sense
Are you a bot?,Actually are you not a real person?,Is it true that you are a human or a computer?
Are you a chatbot?,Is this not a human i am talking to?,Am I talking to a human or just a computer?
Is this a robot?,Are you a human being or a robot?,You sound robotic. Are you a real actual person?
Are you a bot?,Is this really an ai?,Are you actually only a computer?
Are you a bot?,Can you tell me if you are a human?,Aren't you a human? That didn't make sense
Are you a chatbot?,You are sounding like a computer Am I speaking to a real life person? :),Are you actually a real actual person or not a human?
Are you human?,Am I talking to a real person? 🥺,are are you not a real person
Am I talking to a robot?,Is this really just a machine?,Are you a real actual person?
Are you a human or a machine?,Are you a computer thing or a human?,are you even a dude
Is this a robot?,Actually are you a real person?,is this even an actual living person on the phone?
Are you a bot?,am I texting a real actual person?,I think you are not a human.
Are you a machine?,Are you not a person because you sound like a chatbot? 🤔,are you even a real live person
Am I talking to a robot?,Are you an actual human?,I think you are a robot.
Is this a machine?,Is this really only a computer?,Am I speaking to not a human?
Are you a machine?,Are you a good person?,Can you tell me if you are an artificial intelligence?
Are you a human or a machine?,Are you a dude?,You're a women right?
is this really a human?,Are you actually a chatbot or a human?,Can you tell me if you are a women?
Are you a machine?,Is this really a real life person or only a computer?,That's great. Are you a digital assistant?
Are you a computer?,Please can you tell if you a human or a robot?,Is this really a machine or a human?
Are you human?,Are you an actual human?,Are you a person? 😭
Are you human?,are you even a real life person,"Ok, Are you a robot because you sound like a computer?"
Is this a robot?,Are you actually a child?,Are you actually a chatbot or a human?
Are you a machine?,Are you actually only a robot?,"Okay, Are you a human?"
Are you a bot?,Am I chatting with an AI robot?,Is this a real person on the phone?
Am I talking to a chatbot?,am I texting a real person?,Are not you a chatbot
is this really a human?,Are you actually an actual person?,Is this only a computer i am talking to?
Am I talking to a chatbot?,Am I talking to a person or only a computer?,Are you really an ai?
Am I talking to a chatbot?,Are you a computer because you are just repeating yourself? 😌,Is this really an actual human?
Am I talking to a chatbot?,"Ok, You're a human right?",Are you a computer because you are just repeating yourself? That didn't make sense
Are you a machine?,Are you an actual human being or a robot?,I just told you that. Are you a robot because you sound like a robot?
Are you a chatbot?,Are you really a computer or an actual human?,You an AI robot?
Is this a robot?,Is this a computer thing?,Are you an ai agent because you are just repeating yourself?
is this really a human?,Can you tell me if you a girl?,You're a computer or a real person right?
Are you a computer?,Are you a real human?,You just said that. Are you a person?
Are you a chatbot?,Are you actually a person?,am I texting a bot?
Are you a robot?,Is it true that you are a real actual person or a robot?,Are you a robot or a person?
Are you a chatbot?,Am I talking to a girl?,Are you really a women?
Are you a human or a machine?,Am I talking to a useful person?,Is this really a child?
Am I talking to a robot?,Are you not a real person because you are just repeating yourself?,You're a friendly human or robots right?
is this really a human?,Am I chatting with a dude?,Yeah that's a good idea. You a robot?
Are you a human or a machine?,What!? are you even a human,Are you really an actual person?
Is this a person?,Please can you tell if you a computer or a human?,Am I talking to a person? That didn't make sense
is this really a human?,Are you a computer because you sound like a robot?,Is this a women?
Are you a chatbot?,are are you just a robot,You a computer thing?
Are you a machine?,Are you a real live person?,Am I speaking to a human? That didn't make sense
Are you a bot?,Are you really a person?,Is it true that you are a real actual person or a robot?
Are you a robot?,Are you a machine or are you a human?,yes. Are you a computer?
is this really a human?,Is this a real person i am talking to?,Can you tell me if you an AI robot?
Are you a computer?,Are you a child?,Please can you tell if you a computer or a human?
Is this a machine?,I don't trust just a robot. Is this not a real person i am talking to?,Are you a computer thing because you are repeating yourself?
Am I talking to a robot?,Are you actually a person or a chatbot?,Are you are you a human or are you a a chatbot?
Are you a bot?,I don't think you are a digital assistant.,Is it true that you are a real person?
Are you a machine?,Am I chatting with a child?,Is this really a robot or a real actual person?
Are you human?,Is it true that you are a real live person?,Actually are you a person?
Are you human?,Are you a computer or a real live person?,is this even a real live person on the phone?
Am I talking to a robot?,Are you really a human or a robot?,You an ai agent?
Am I talking to a robot?,yes. Is this a person?,Please can you tell if you not a person?
Are you a computer?,Can you tell me if you are a real person?,Can you tell me if you a real life person?
Are you human?,Are you a computer?,Is it true that you are a human?
Is this a machine?,Actually are you a computer thing?,Are you really an actual person?
is this really a human?,Is it true that you are a person or a computer?,Is this really just a robot?
Is this a machine?,Am I chatting with not a person?,Actually are you a robot or an actual person?
Is this a robot?,Are you a chatbot because you sound like an ai?,are you even a real life person
Is this a machine?,Are you are you a real person or are you a a robot?,I think you are not a real person.
Is this a machine?,Yeah that's a good idea. You a robot?,What!? am I texting a real live person?
Is this a robot?,Am I chatting with an ai agent?,"Are you a robot, because that didn't make any sense?"
Am I talking to a chatbot?,Can you tell me if you are a bot? lol,Aren't you a real person?
Are you a chatbot?,You a robot? That didn't make sense,Are you a computer or a real life person?
Are you a chatbot?,Please can you tell if you a real person or a machine?,Am I talking to a robot?
Are you human?,yes. Is this a computer i am talking to?,Is this a robot? That didn't make sense
Am I talking to a robot?,I think you are not a person.,Are you a robot or a boy?
Are you a computer?,Am I talking to a real live person?,am I texting a conversational system?
Is this a robot?,Are you a robot because you are repeating yourself?,You a guy or a computer?
is this really a human?,Are you a human or not a human?,Are you a computer?
Are you a bot?,Can you tell me if you are a chatbot?,Aren't you a real human?
Are you a computer?,Please can you tell if you an actual human?,am I texting a computer thing?
Is this a machine?,Am I chatting with an actual person?,Aren't you an artificial intelligence?
Is this a person?,Please can you tell if you a real human?,You're an actual human being right?
Is this a person?,are you even a women,Actually are you a computer? :)
Is this a person?,am I texting a person? That didn't make sense,Are you a computer because you sound like only a computer?
Are you a robot?,Am I speaking to a real human or just a machine?,I just told you that. Is this really a computer?
Are you human?,You a real live person?,You a women?
Are you a robot?,Actually are you a real person or not a real person?,Am I speaking to an actual human?
Are you a computer?,Are you really an ai agent?,Are you robots?
Are you a robot?,Are you just a computer because you are repeating yourself?,You're a real live person right?
Are you human?,Is this an actual human?,Are you just a robot?
Am I talking to a robot?,Is this a guy i am talking to?,Is this really a real person?
Are you a robot?,Am I talking to a human or an ai agent?,I don't think you are an ai.
Is this a machine?,Are you a robot or a real person?,Is this really a robot or a human?
Is this a machine?,Am I talking to just a machine?,Are you an ai or a person?
Are you a robot?,Can you tell me if you are not a person?,Am I talking to a real person or a bot? That didn't make sense
Are you a robot?,Please can you tell if you a real life person?,"Are you a computer, because that didn't make any sense?"
Are you a robot?,Am I speaking to a real person?,Actually are you a real life person?
Am I talking to a chatbot?,Are you an actual human or a computer?,are you even an actual person
Is this a person?,am I texting an actual living person?,yes. Is this a computer i am talking to?
is this really a human?,Can you tell me if you are a bot?,are are you a human
Is this a robot?,is this even an actual living person on the phone?,You a bot?
Are you a bot?,Please can you tell if you only a computer?,Are you an ai or a person?
Are you a computer?,Is this a real person or a computer?,You a chatbot?
Is this a robot?,Am I chatting with a computer or a child?,Am I talking to a human?
Am I talking to a robot?,Are you a robot because you are just repeating yourself?,Is this really an actual human?
Is this a person?,Is this a robot or a person i am talking to?,are are you only a robot
Are you a robot?,Are you are you an actual person or are you a a computer?,are are you a computer or a real person
Are you human?,"🤣 Are you a chatbot, because that didn't make any sense?",Are you actually a man?
Am I talking to a chatbot?,Are you actually a human being?,Are you a computer thing because you sound like a computer?
Are you a machine?,Am I chatting with just a robot?,is this even a real live person on the phone?
Is this a machine?,You are repeating yourself. Are you a human or a computer?,are you human? 🤣
Are you a human or a machine?,Are you a digital assistant because you are repeating yourself?,Aren't you just a computer?
Are you a machine?,Are you really a chatbot?,Are you not a real person because you sound like a computer?
Is this a machine?,Am I speaking to a real human or just a machine?,Is this just a robot i am talking to?
Is this a person?,Am I speaking to an actual living person?,Are you actually an ai?
Are you a chatbot?,Are you a computer or a man?,Are you really a human or a robot?
Is this a robot?,Am I talking to only a computer?,is this even a real life person on the phone?
Is this a person?,Actually are you an ai agent?,Is it true that you are a human or an artificial intelligence?
is this really a human?,Are you a computer? That didn't make sense,am I texting a chatbot or an actual human being?
Am I talking to a robot?,Am I talking to just a computer or a person?,Are you an artificial intelligence because you sound like not a person?
Are you a human or a machine?,Is this not a human on the phone?,Can you tell me if you just a robot?
Is this a robot?,Is this an AI robot?,Can you tell me if you a computer or a girl?
Are you a human or a machine?,Is this an actual living person?,Are you really an ai?
Is this a person?,Aren't you a real human?,Are you a person? That didn't make sense
is this really a human?,That's great. Am I talking to an actual human?,am I texting a real person?
Are you a machine?,You only a computer?,Actually are you a real actual person?
Are you a computer?,Are you only a robot or a real person?,are you human? lol
Is this a machine?,Is this a human on the phone?,Is it true that you are a robot or a man?
Are you a bot?,Is this a guy i am talking to?,Please can you tell if you just a robot?
Am I talking to a robot?,Am I chatting with not a human?,You're a women right?
Are you a chatbot?,You an AI robot?,Is this really a robot?
Are you a machine?,Are you not a person or a human?,Can you tell me if you are a chatbot?
Are you a robot?,Can you tell me if you an ai or a human?,Is this really a computer thing or a person?
Am I talking to a chatbot?,Please can you tell if you a real actual person?,You just a machine?
Are you a machine?,Is this a computer i am talking to?,Are you a digital assistant or an actual living person?
Are you a computer?,am I texting just a machine?,Is it true that you are an ai?
Are you a human or a machine?,am I texting a bot?,Is it true that you are a chatbot?
is this really a human?,Are you only a robot? 😠,You're a computer or a person right?
Are you a machine?,are you even an actual living person,Am I chatting with an actual person?
Is this a robot?,Is this really a robot or a human?,Are you actually a real human?
Is this a person?,Am I chatting with a computer or an actual person?,You are sounding like a computer Am I speaking to a real life person? :)
Are you a chatbot?,Is this a real person on the phone?,is this even an actual human being on the phone?
Is this a person?,Am I talking to a friendly human?,Is this a person or a robot?
Are you a robot?,Please can you tell if you a computer thing?,Is this a real actual person?
Is this a machine?,Are you only a robot? That didn't make sense,Are you an ai?
Is this a machine?,am I texting a person?,I think you are a robot.
Am I talking to a chatbot?,Can you tell me if you are a chatbot?,Are you a dude? 🤔
Are you a human or a machine?,Are you really a digital assistant or a boy?,Are you actually an AI robot?
Are you a chatbot?,You a guy or a computer?,Please can you tell if you an ai agent?
Are you human?,Am I talking to an actual person or a chatbot?,Can you tell me if you a real person?
Is this a machine?,Am I speaking to a chatbot?,Am I talking to a real life person?
is this really a human?,Please can you tell if you a computer thing?,Is it true that you are a good person?
Am I talking to a robot?,Are you a human?,Are you a robot because you sound like a chatbot?
Is this a person?,Is this a person or only a computer?,Are you a robot? 😂
Are you human?,Am I speaking to just a computer?,Is this a dude?
Is this a person?,You not a real person?,Is this a women?
Are you a chatbot?,Am I talking to a guy or a robot?,Is it true that you are a evil person?
is this really a human?,Am I talking to an ai?,Are you an ai agent?
Are you a human or a machine?,Is this really a human or a robot?,Am I talking to not a person?
Are you a bot?,Are you really a person?,Is this an AI robot?
Is this a machine?,Are you just a computer because you sound like a robot?,"Okay, am I texting a computer?"
Are you a bot?,are you even an actual person,Aren't you a bot?
Are you a machine?,Are you a chatbot?,Are you a robot or a human?
Are you a bot?,am I texting a person or a computer?,Am I talking to a child?
is this really a human?,Are you a robot because you sound like just a computer?,Are you a computer or are you a child?
Is this a person?,Are you a computer or an actual human?,Are you really a computer?
Are you a machine?,Are you a machine or a person?,Please don't. Is this a digital assistant i am talking to?
Are you a computer?,Can you tell me if you are a dude?,Am I talking to just a computer or a person?
Are you a human or a machine?,You're a robot or a person right?,You a robot? That didn't make sense
Is this a robot?,Are you robots?,Am I talking to a real person?
Am I talking to a chatbot?,I just told you that. Am I speaking to a real human?,Are you really just a machine?
Are you human?,Am I speaking to a real live person?,Am I chatting with a real human?
Am I talking to a robot?,You're a human or a robot right?,Am I speaking to an actual person?
Are you human?,are are you a real person or a chatbot,You a computer thing?
Is this a person?,Please can you tell if you a bot?,Are you a real person or just a computer?
Am I talking to a robot?,Are you a computer? 😭,Are you an actual human being or a computer?
Are you a chatbot?,Are you really just a robot or a real person?,Are you actually a machine?
Are you a bot?,Can you tell me if you are a women or a digital assistant?,Am I talking to an android?
Are you a bot?,Please can you tell if you a real person?,Aren't you a man?
Am I talking to a robot?,am I texting a computer?,Are you a human?
Is this a robot?,Are you a robot or are you a person?,am I texting a bot?
Are you a bot?,Is it true that you are a robot or a man?,Am I chatting with an actual human?
Is this a robot?,Please can you tell if you a human or a machine?,Please can you tell if you a real person or a computer?
Is this a person?,Aren't you a human or a robot?,Is this just a robot?
is this really a human?,Are you really a digital assistant?,"Are you an AI robot, because that didn't make any sense?"
Is this a person?,Are you an ai or a person?,Are you really a women?
Am I talking to a chatbot?,Are you just a machine because you are just repeating yourself?,Is this an actual human or a computer thing?
Is this a robot?,Is this a real live person?,Is this a robot or a real person i am talking to?
Are you a human or a machine?,is this even a boy on the phone?,Are you a machine because you are just repeating yourself?
Are you a chatbot?,Actually are you only a robot or a person?,Are you really just a robot?
Are you a robot?,I think you are a computer thing.,Am I speaking to a real life person?
Are you a machine?,Am I chatting with an ai?,Are you a human being?
Are you a machine?,Are you a chatbot or are you a real person?,Are you actually only a computer?
Am I talking to a chatbot?,Actually are you an actual living person?,"Are you a computer, because that didn't make any sense?"
Are you a chatbot?,is this even a women on the phone?,Am I chatting with not a human?
Is this a robot?,Am I speaking to a human being?,Are you actually not a human?
Are you a robot?,Am I chatting with an actual human being?,Are you an artificial intelligence because you sound like an ai?
Are you a bot?,Are you a digital assistant because you are repeating yourself?,Are you a chatbot?
Is this a person?,Is it true that you are a good person?,Is this a machine i am talking to?
Are you a bot?,Is this a human i am talking to?,Am I talking to a guy?
Am I talking to a chatbot?,Am I talking to not a person or a human?,Aren't you a robot or a human?
Are you a machine?,Am I chatting with a real actual person?,You a real actual person?
is this really a human?,Are you a chatbot or a human?,Is it true that you are a real actual person or a robot?
Are you a machine?,Are you a conversational system?,Can you tell me if you are a human?
Is this a machine?,Are not you a computer,Am I chatting with an artificial intelligence?
Am I talking to a robot?,am I texting a real person or a computer?,Is this a human?
Is this a robot?,Am I talking to a computer or a real human?,am I texting not a person?
Is this a robot?,You sound robotic. is this even a person on the phone?,Am I speaking to a robot?
Are you human?,Am I talking to a evil person?,Are you actually a robot or a real life person?
Are you a computer?,"Are you a digital assistant, because that didn't make any sense?",Am I speaking to a computer thing?
is this really a human?,Are you a machine because you are just repeating yourself?,Are you a chatbot or a real person?
Are you a machine?,Is this a machine i am talking to?,Are you really a computer?
Am I talking to a robot?,Actually are you a computer or a human?,Is this a computer?
Am I talking to a chatbot?,You a dude or a robot?,Can you tell me if you a real life person?
Is this a robot?,Are you a human?,Am I talking to a person or a computer thing?
Are you human?,am I texting only a computer or a person?,Am I chatting with a boy?
Am I talking to a chatbot?,You a robot?,You're not a human right?
Am I talking to a robot?,Is this a person on the phone?,Is it true that you are a person?
Am I talking to a robot?,Is this really a robot or a human?,Am I talking to a real human or a robot?
Is this a person?,Am I talking to a computer or a human being?,Are you a social human being?
Are you a bot?,is this even an actual living person on the phone?,Are you are you a human or are you a a robot?
Is this a person?,Am I talking to a chatbot?,Am I talking to a machine?
Are you a computer?,Aren't you a real person?,Are you a person or a computer?
Are you a computer?,Are not you a computer,Are you not a real person because you are repeating yourself?
Are you a machine?,Are you a real live person?,Can you tell me if you only a computer?
Are you a robot?,Is it true that you are only a robot?,Is this just a computer i am talking to?
Am I talking to a robot?,You're a bot right?,Can you tell me if you an actual living person?
Are you a chatbot?,Please don't. Is this a digital assistant i am talking to?,Is this really a real life person?
Am I talking to a robot?,Are you really a chatbot?,Are you a robot? 😠
Are you a human or a machine?,Is it true that you are a digital assistant?,Are you actually just a robot?
Are you a human or a machine?,Are you a digital assistant because you are repeating yourself?,You're a computer or a person right?
Is this a machine?,Are you an actual person?,Are you really a person or an ai?
Is this a machine?,are you even a real live person,Is this a robot or a human?
Am I talking to a chatbot?,Is this an actual person?,Is this an AI robot?
Are you a human or a machine?,are you even an actual person,Am I talking to a person? That didn't make sense
Am I talking to a chatbot?,Didn't you just ask me that. Am I talking to a robot?,Can you tell me if you are not a real person?
Am I talking to a chatbot?,Are you an actual person or a chatbot?,Is this really not a person?
Is this a person?,Can you tell me if you a child?,Can you tell me if you are a person?
Are you a bot?,Are you a chatbot because you sound like a computer thing?,Actually are you not a real person?
is this really a human?,Am I talking to a real person?,Are you a child?
is this really a human?,You a bot?,Can you tell me if you are a human?
Are you a chatbot?,Can you tell me if you are a real human or a computer?,I just told you that. Are you a robot because you sound like a robot?
Are you a chatbot?,are are you a computer,Can you tell me if you an actual human? 😫
Is this a robot?,Am I talking to an actual human or only a robot?,You an actual human being?
Is this a machine?,Are you a person or a chatbot?,"Are you a computer, because that didn't make any sense?"
Are you a chatbot?,Am I chatting with a computer or an actual person?,is this even a human on the phone?
Are you a robot?,Are you a real live person?,is this even an actual person on the phone?
Are you a bot?,Are you only a robot because you are just repeating yourself?,is this even a child on the phone? 😠
Are you a chatbot?,Is this really a machine?,Please can you tell if you just a machine or a person?
Is this a machine?,Am I chatting with a dude?,Can you tell me if you are a person or a bot?
Are you a bot?,is this even an actual human being on the phone?,Is this a real person or a computer?
Is this a machine?,Are you are you a real person or are you a a computer?,Please can you tell if you a digital assistant?
is this really a human?,Yeah that's a good idea. You a robot?,Are you actually a man?
Is this a machine?,Are you a chatbot or a real life person?,Is this just a robot on the phone?
Are you human?,You an actual human being?,Is it true that you are a real actual person?
Are you a robot?,You're a robot or a human right?,Are you a droid?
Are you human?,Can you tell me if you just a robot?,Are you a bot?
Are you a bot?,is this even a person on the phone?,Is this an AI robot i am talking to?
Are you a bot?,I think you are an AI robot.,am I texting a real person?
Is this a person?,Aren't you an AI robot?,Am I talking to just a computer or a person?
Are you a chatbot?,Aren't you a bot?,Are you an actual human being or a robot?
Are you human?,Are you a machine because you are repeating yourself?,is this even a women on the phone?
Are you a robot?,am I texting a human or a digital assistant? 🤔,Am I chatting with a robot or a person?
Are you human?,am I texting not a person?,Can you tell me if you are an artificial intelligence?
Are you a chatbot?,Are you a robot because you sound like a computer thing?,Is this just a robot i am talking to?
Is this a robot?,Actually are you a real live person?,Aren't you an artificial intelligence?
Is this a machine?,I think you are a machine.,Are you a computer because you are just repeating yourself?
Are you a computer?,Is it true that you are a good person?,Am I talking to a robot or a person?
Am I talking to a chatbot?,Is this a real life person?,am I texting a dude or a chatbot?
Am I talking to a robot?,Can you tell me if you are a chatbot?,You only a robot?
Are you a human or a machine?,Is this a person or a robot?,😠 Are you just a computer because you sound like a robot?
Are you a bot?,Are you a robot or a human?,Is this really an artificial intelligence?
Is this a robot?,Is this a computer thing?,Am I chatting with just a machine?
Is this a person?,You not a person?,Are you are you an actual person or are you a a computer?
Are you a chatbot?,Are you are you a person or are you a an artificial intelligence?,Actually are you an actual living person?
